Report Status,pilot,crew,engine,weather,runway,manufacturer,probable,foreign,factual
"The improperly attached fuel line and cracked fuel diaphragm due to unknown personnels inadequate maintenance, which resulted in the loss of engine power during cruise flight and the subsequent forced landing onto rough terrain.",0,0,1,0,0,0,0,0,0
The partial loss of engine power during takeoff for reasons that could not be determined because postaccident engine examinations revealed no anomalies that would have precluded normal operation.,0,0,1,0,0,0,0,0,0
"The failure of the landing gear hydraulic power pack system to provide sufficient pressure to lock the main landing gear in the down position. Contributing to the accident was the improper maintenance and inspection of the landing gear system, the pilots continued operation of the airplane with a known mechanical problem with the landing gear system, and the pilots failure to visually verify that the landing gear were down.",1,0,0,0,0,0,0,0,0
"The non-instrument rated pilots continued visual flight into instrument flight rules conditions, which resulted in an in-flight loss of control.",1,0,0,0,0,0,0,0,0
"The pilots decision to takeoff with a quartering tailwind at high density altitude, close to gross takeoff weight, on a short turf runway with trees at the departure end. ",1,0,0,0,1,0,0,0,0
"The pilots inadequate compensation for gusting wind conditions, which resulted in a hard landing that produced forces beyond the structural capability of the airframe.",1,0,0,0,0,0,0,0,0
"

The first officer's unannounced advancement of the left engine throttle, which led to a sustained application of high thrust that caused the airplane to impact the tug.",0,0,1,0,0,0,0,0,0
"

The flight crew's failure to maintain terrain clearance, which resulted in controlled flight into terrain in instrument meteorological conditions. Contributing to the accident were the flight crew's failure to correctly read back and interpret clearance altitudes issued by the air traffic controller, their failure to adhere to minimum altitudes depicted on the published instrument approach chart, and their failure to adhere to company checklists.

Also contributing to the accident were the air traffic controller's issuance of an ambiguous clearance to the flight crew, which  resulted in the airplane's premature descent, his failure to address the pilot's incorrect read back of the assigned clearance altitudes, and his failure to monitor the flight and address the altitude violations and issue terrain-based safety alerts.",1,1,0,0,0,0,0,0,0
"

The glider pilots failure to maintain pitch during a CG aerotow, which resulted in the loss of control of the tow airplane.",1,0,0,0,0,0,0,0,0
"

The partial loss of engine power for reasons that could not be undetermined because an examination of the engine did not reveal any malfunctions or failures that would preclude normal operation.",0,0,1,0,0,0,0,0,0
"

The pilot's failure to maintain a proper glide path, which resulted in a touchdown short of the  runway.",1,0,0,0,1,0,0,0,0
"

The pilot's inability to return to the departure airport due to an unspecified in-flight emergency for reasons that could not be determined during a postaccident examination of the airplane.",1,0,0,0,0,0,0,0,0
